dataset,newviol,year,month,date,dept,muni,perp1,pdesc1,perp2,pdesc2
CDHES,Killing,1980,10,1980-10-03,SAN SALVADOR,SAN SALVADOR,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1983,3,1983-03-14,CUSCATLAN,SUCHITOTO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1991,7,1991-07-18,LA PAZ,ZACATECOLUCA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1987,5,1987-05-20,SAN MIGUEL,NUEVO EDEN DE SAN JUAN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1986,2,1986-02-01,USULUTAN,NUEVA GRANADA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,10,1980-10-03,SAN SALVADOR,SAN SALVADOR,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1980,10,1980-10-03,SAN SALVADOR,SAN SALVADOR,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,4,1980-04-08,CUSCATLAN,SAN PEDRO PERULAPAN,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,1981,5,1981-05-28,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1988,4,1988-04-19,USULUTAN,CALIFORNIA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1985,6,1985-06-01,CUSCATLAN,SUCHITOTO,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1992,5,1992-05-11,LA LIBERTAD,ZARAGOZA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,7,1980-07-30,USULUTAN,JUCUARAN,ARMY,6TH INFANTRY BRIGADE,UNKNOWN,UNKNOWN
CDHES,Killing,1991,7,1991-07-18,LA PAZ,ZACATECOLUCA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,7,1980-07-01,USULUTAN,SAN FRANCISCO JAVIER,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1984,7,1984-07-25,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1981,5,1981-05-21,SAN VICENTE,SAN ESTEBAN CATARINA,ARMY,ARMY,UNKNOWN,UNKNOWN
CDHES,Killing,1980,4,1980-04-08,CUSCATLAN,SAN PEDRO PERULAPAN,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1982,1,1982-01-25,SAN VICENTE,TECOLUCA,ARMY,ARMY,UNKNOWN,UNKNOWN
CDHES,Killing,1980,11,1980-11-10,SAN SALVADOR,MEJICANOS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1986,2,1986-02-01,USULUTAN,NUEVA GRANADA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1981,6,1981-06-18,USULUTAN,SAN BUENAVENTURA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1991,5,1991-05-18,CUSCATLAN,CANDELARIA-EL CARMEN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1988,2,1988-02-11,SAN MIGUEL,SAN GERARDO,ARMY,BATTALION JUCUARAN,UNKNOWN,UNKNOWN
CDHES,Killing,1981,7,1981-07-01,SAN VICENTE,SAN ESTEBAN CATARINA,OTHER,OTHER,UNKNOWN,UNKNOWN
CDHES,Killing,1986,2,1986-02-01,USULUTAN,NUEVA GRANADA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,7,1980-07-01,SAN VICENTE,SANTO DOMINGO,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1986,6,1986-06-24,USULUTAN,JUCUARAN,ARMY,BATTALION JUCUARAN,UNKNOWN,UNKNOWN
CDHES,Killing,1981,5,1981-05-28,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1989,2,1989-02-17,CABANAS,ILOBASCO,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1981,2,1981-02-15,USULUTAN,SAN AGUSTIN,ARMY,ARMY,UNKNOWN,UNKNOWN
CDHES,Killing,1980,11,1980-11-01,USULUTAN,JUCUARAN,ARMY,AIR FORCE,UNKNOWN,UNKNOWN
CDHES,Killing,1992,8,1992-08-07,UNKNOWN,UNKNOWN,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1991,9,1991-09-05,SAN SALVADOR,GUAZAPA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1987,8,1987-08-09,SAN SALVADOR,SAN SALVADOR,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1987,2,1987-02-03,LA LIBERTAD,QUEZALTEPEQUE,ARMY,ARMY,UNKNOWN,UNKNOWN
CDHES,Killing,1984,10,1984-10-04,CHALATENANGO,TEJUTLA,OTHER,INDIVIDUAL(S),UNKNOWN,UNKNOWN
CDHES,Killing,1980,4,1980-04-28,SAN SALVADOR,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1987,2,1987-02-07,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,10,1980-10-03,SAN SALVADOR,SAN SALVADOR,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1989,7,1989-07-01,SAN VICENTE,TECOLUCA,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,1981,5,1981-05-28,NA,UNKNOWN,OTHER,OTHER,UNKNOWN,UNKNOWN
CDHES,Killing,0,9,0-09-06,NA,UNKNOWN,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1983,4,1983-04-09,CABANAS,SENSUNTEPEQUE,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1980,6,1980-06-29,CUSCATLAN,COJUTEPEQUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,4,1980-04-08,SAN SALVADOR,SAN SALVADOR,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1981,7,1981-07-01,USULUTAN,JIQUILISCO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1987,5,1987-05-30,SAN SALVADOR,UNKNOWN,TREASURY POLICE,TREASURY POLICE,UNKNOWN,UNKNOWN
CDHES,Killing,1980,2,1980-02-17,CHALATENANGO,LA LAGUNA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,10,1980-10-03,SAN SALVADOR,SAN SALVADOR,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,1981,1,1981-01-15,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1981,7,1981-07-01,SAN MIGUEL,SAN MIGUEL,ARMY,3RD INFANTRY BRIGADE,UNKNOWN,UNKNOWN
CDHES,Killing,1982,2,1982-02-16,USULUTAN,JUCUARAN,ARMY,6TH INFANTRY BRIGADE,UNKNOWN,UNKNOWN
CDHES,Killing,1980,1,1980-01-18,SAN SALVADOR,SAN SALVADOR,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,1990,12,1990-12-09,USULUTAN,CONCEPCION BATRES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1982,1,1982-01-30,SAN SALVADOR,DELGADO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1986,12,1986-12-08,NA,UNKNOWN,ARMY,ARMY,UNKNOWN,UNKNOWN
CDHES,Killing,1980,4,1980-04-26,SAN SALVADOR,SAN MARTIN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,3,1980-03-25,MORAZAN,OSICALA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1983,2,1983-02-15,CHALATENANGO,AGUA CALIENTE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1987,8,1987-08-09,SAN SALVADOR,SAN SALVADOR,ARMY,ARMY,UNKNOWN,UNKNOWN
CDHES,Killing,1981,6,1981-06-23,SAN SALVADOR,EL PAISNAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1982,4,1982-04-22,SAN SALVADOR,MEJICANOS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1985,2,1985-02-09,SAN SALVADOR,SAN SALVADOR,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,1980,1,1980-01-10,SANTA ANA,METAPAN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1990,6,1990-06-05,SAN SALVADOR,SAN MARCOS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,7,1980-07-01,LA PAZ,SANTIAGO NONUALCO,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1980,1,1980-01-18,SAN SALVADOR,SAN SALVADOR,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1990,12,1990-12-28,SAN VICENTE,SAN SEBASTIAN,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1980,4,1980-04-26,SAN SALVADOR,SAN MARTIN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,4,1980-04-01,USULUTAN,SANTIAGO DE MARIA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,9,1980-09-04,NA,UNKNOWN,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1991,7,1991-07-18,LA PAZ,ZACATECOLUCA,ARMY,DMIFA,UNKNOWN,UNKNOWN
CDHES,Killing,1980,1,1980-01-01,USULUTAN,SAN FRANCISCO JAVIER,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1981,8,1981-08-07,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1983,4,1983-04-27,SAN SALVADOR,MEJICANOS,NATIONAL POLICE,NATIONAL POLICE,UNKNOWN,UNKNOWN
CDHES,Killing,1980,9,1980-09-18,SAN SALVADOR,SAN SALVADOR,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,7,1980-07-20,USULUTAN,EL TRIUNFO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1992,2,1992-02-29,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1982,4,1982-04-18,MORAZAN,EL DIVISADERO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1982,2,1982-02-14,SAN SALVADOR,ILOPANGO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1987,5,1987-05-20,SAN MIGUEL,NUEVO EDEN DE SAN JUAN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1987,10,1987-10-26,SAN SALVADOR,MEJICANOS,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1981,12,1981-12-09,MORAZAN,DELICIAS DE CONCEPCION,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1981,7,1981-07-26,USULUTAN,JUCUAPA,ARMY,BIRI ATLACATL,UNKNOWN,UNKNOWN
CDHES,Killing,1983,10,1983-10-13,SAN SALVADOR,TONACATEPEQUE,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1980,8,1980-08-06,NA,UNKNOWN,OTHER,OTHER,UNKNOWN,UNKNOWN
CDHES,Killing,1988,8,1988-08-19,CUSCATLAN,SUCHITOTO,NATIONAL POLICE,BATTALION PANTERA,UNKNOWN,UNKNOWN
CDHES,Killing,1988,12,1988-12-13,SAN VICENTE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1989,2,1989-02-02,SONSONATE,ACAJUTLA,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,1980,3,1980-03-25,MORAZAN,OSICALA,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,1981,6,1981-06-18,USULUTAN,SAN BUENAVENTURA,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1992,5,1992-05-09,SAN SALVADOR,APOPA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1981,2,1981-02-14,LA PAZ,ZACATECOLUCA,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,1980,5,1980-05-12,CHALATENANGO,LAS FLORES,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,0,7,0-07-01,SAN SALVADOR,UNKNOWN,TREASURY POLICE,TREASURY POLICE,UNKNOWN,UNKNOWN
CDHES,Killing,1980,7,1980-07-23,NA,UNKNOWN,OTHER,OTHER,UNKNOWN,UNKNOWN
CDHES,Killing,1980,10,1980-10-15,SAN VICENTE,APASTEPEQUE,ARMY,5TH INFANTRY BRIGADE,UNKNOWN,UNKNOWN
CDHES,Killing,1980,7,1980-07-07,CUSCATLAN,COJUTEPEQUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1984,2,1984-02-05,SAN SALVADOR,DELGADO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1989,5,1989-05-03,LA PAZ,EL ROSARIO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,4,1980-04-07,SAN MIGUEL,SAN MIGUEL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1981,7,1981-07-01,USULUTAN,JIQUILISCO,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1983,7,1983-07-01,USULUTAN,JUCUARAN,ARMY,3RD INFANTRY BRIGADE,UNKNOWN,UNKNOWN
CDHES,Killing,1984,4,1984-04-06,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,10,1980-10-26,SAN VICENTE,TECOLUCA,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,1983,2,1983-02-15,CHALATENANGO,AGUA CALIENTE,TREASURY POLICE,TREASURY POLICE,UNKNOWN,UNKNOWN
CDHES,Killing,1991,7,1991-07-18,LA PAZ,ZACATECOLUCA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1982,3,1982-03-02,SAN SALVADOR,UNKNOWN,TREASURY POLICE,TREASURY POLICE,UNKNOWN,UNKNOWN
CDHES,Killing,1982,9,1982-09-29,SAN MIGUEL,SAN GERARDO,ARMY,BIRI ARCE,UNKNOWN,UNKNOWN
CDHES,Killing,1983,7,1983-07-01,USULUTAN,JUCUARAN,ARMY,BIRI ATONAL,UNKNOWN,UNKNOWN
CDHES,Killing,1982,3,1982-03-07,SAN SALVADOR,DELGADO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1982,5,1982-05-12,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,4,1980-04-03,CUSCATLAN,SUCHITOTO,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1981,12,1981-12-15,SAN MIGUEL,EL TRANSITO,ARMY,6TH INFANTRY BRIGADE,UNKNOWN,UNKNOWN
CDHES,Killing,1990,2,1990-02-02,SAN SALVADOR,DELGADO,ARMY,BIRI BELLOSO,UNKNOWN,UNKNOWN
CDHES,Killing,1991,9,1991-09-24,LA UNION,UNKNOWN,ARMY,MILITARY DETACHMENT NO. 3,UNKNOWN,UNKNOWN
CDHES,Killing,1991,3,1991-03-09,USULUTAN,SAN FRANCISCO JAVIER,ARMY,6TH INFANTRY BRIGADE,UNKNOWN,UNKNOWN
CDHES,Killing,1989,10,1989-10-10,SAN SALVADOR,SAN SALVADOR,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1988,8,1988-08-04,SAN MIGUEL,CHIRILAGUA,ARMY,ARMY,UNKNOWN,UNKNOWN
CDHES,Killing,1981,6,1981-06-25,MORAZAN,SAN FERNANDO,TREASURY POLICE,TREASURY POLICE,UNKNOWN,UNKNOWN
CDHES,Killing,1980,7,1980-07-01,USULUTAN,SAN AGUSTIN,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1980,7,1980-07-01,SAN VICENTE,SANTO DOMINGO,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1980,8,1980-08-20,SAN VICENTE,SAN ESTEBAN CATARINA,ARMY,5TH INFANTRY BRIGADE,UNKNOWN,UNKNOWN
CDHES,Killing,1984,7,1984-07-22,MORAZAN,CACAOPERA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,5,1980-05-13,SAN SALVADOR,GUAZAPA,ARMY,AIR FORCE,UNKNOWN,UNKNOWN
CDHES,Killing,1982,5,1982-05-21,LA PAZ,ZACATECOLUCA,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1981,6,1981-06-18,USULUTAN,SAN BUENAVENTURA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1982,1,1982-01-01,SAN MIGUEL,EL TRANSITO,ARMY,BIRI ATONAL,UNKNOWN,UNKNOWN
CDHES,Killing,1987,9,1987-09-17,SAN SALVADOR,APOPA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,7,1980-07-07,CUSCATLAN,COJUTEPEQUE,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1981,4,1981-04-15,SAN MIGUEL,EL TRANSITO,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1991,5,1991-05-19,NA,UNKNOWN,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1980,10,1980-10-07,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1981,11,1981-11-15,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1984,6,1984-06-01,CABANAS,VICTORIA,ARMY,ARMY,UNKNOWN,UNKNOWN
CDHES,Killing,1981,2,1981-02-13,LA PAZ,ZACATECOLUCA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1992,5,1992-05-01,AHUACHAPAN,SAN FRANCISCO MENENDEZ,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1989,7,1989-07-08,NA,UNKNOWN,OTHER,OTHER,UNKNOWN,UNKNOWN
CDHES,Killing,1981,3,1981-03-07,LA LIBERTAD,COMASAGUA,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,1982,4,1982-04-18,MORAZAN,EL DIVISADERO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1984,4,1984-04-06,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1992,1,1992-01-29,SAN SALVADOR,SAN SALVADOR,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1992,7,1992-07-19,SANTA ANA,COATEPEQUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1987,7,1987-07-13,NA,UNKNOWN,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1990,11,1990-11-13,LA LIBERTAD,TAMANIQUE,ARMY,CAVALRY REGIMENT,UNKNOWN,UNKNOWN
CDHES,Killing,1989,1,1989-01-01,NA,UNKNOWN,OTHER,OTHER,UNKNOWN,UNKNOWN
CDHES,Killing,1981,12,1981-12-04,NA,UNKNOWN,OTHER,OTHER,UNKNOWN,UNKNOWN
CDHES,Killing,1980,7,1980-07-01,SAN VICENTE,SANTO DOMINGO,NATIONAL GUARD,NATIONAL GUARD,UNKNOWN,UNKNOWN
CDHES,Killing,1987,10,1987-10-03,LA PAZ,EL ROSARIO,PARAMILITARY,CIVIL DEFENSE,UNKNOWN,UNKNOWN
CDHES,Killing,1983,4,1983-04-27,SAN SALVADOR,MEJICANOS,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1989,10,1989-10-10,SAN SALVADOR,SAN SALVADOR,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1981,2,1981-02-15,USULUTAN,JUCUARAN,ARMY,6TH INFANTRY BRIGADE,UNKNOWN,UNKNOWN
CDHES,Killing,1981,2,1981-02-15,USULUTAN,JUCUARAN,ARMY,AIR FORCE,UNKNOWN,UNKNOWN
CDHES,Killing,1981,12,1981-12-19,SAN VICENTE,TECOLUCA,ARMY,ARMY,UNKNOWN,UNKNOWN
CDHES,Killing,1987,9,1987-09-05,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,6,1980-06-15,USULUTAN,JIQUILISCO,FMLN,FMLN,UNKNOWN,UNKNOWN
CDHES,Killing,1982,4,1982-04-18,MORAZAN,EL DIVISADERO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1982,1,1982-01-01,USULUTAN,SAN AGUSTIN,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1981,9,1981-09-17,SAN SALVADOR,MEJICANOS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1981,8,1981-08-07,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1981,9,1981-09-29,SAN SALVADOR,EL PAISNAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1982,3,1982-03-02,SAN SALVADOR,UNKNOWN,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1988,9,1988-09-21,SAN VICENTE,SAN SEBASTIAN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1989,8,1989-08-06,CHALATENANGO,DULCE NOMBRE DE MARIA,ARMY,BIRI BRACAMONTE,UNKNOWN,UNKNOWN
CDHES,Killing,1991,5,1991-05-18,CUSCATLAN,CANDELARIA-EL CARMEN,ARMY,2ND INFANTRY BRIGADE,UNKNOWN,UNKNOWN
CDHES,Killing,1985,7,1985-07-01,USULUTAN,JUCUARAN,ARMY,NAVY,UNKNOWN,UNKNOWN
CDHES,Killing,0,1,0-01-01,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,8,1980-08-14,SAN SALVADOR,MEJICANOS,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1981,7,1981-07-16,SAN SALVADOR,CUSCATANCINGO,NATIONAL POLICE,NATIONAL POLICE,UNKNOWN,UNKNOWN
CDHES,Killing,1986,2,1986-02-01,USULUTAN,NUEVA GRANADA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,9,1980-09-22,USULUTAN,CALIFORNIA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1980,7,1980-07-01,SAN VICENTE,SANTO DOMINGO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1991,1,1991-01-31,SAN SALVADOR,SAN SALVADOR,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1992,5,1992-05-13,SAN SALVADOR,NEJAPA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1983,8,1983-08-08,MORAZAN,OSICALA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
CDHES,Killing,1982,8,1982-08-27,LA LIBERTAD,NUEVA SAN SALVADOR,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1988,2,1988-02-03,NA,UNKNOWN,DEATH SQUAD,DEATH SQUAD,UNKNOWN,UNKNOWN
CDHES,Killing,1984,4,1984-04-03,CUSCATLAN,SUCHITOTO,ARMY,ARMY,UNKNOWN,UNKNOWN
CDHES,Killing,1981,7,1981-07-01,NA,UNKNOWN,OTHER,OTHER,UNKNOWN,UNKNOWN
CDHES,Killing,1992,3,1992-03-21,SAN SALVADOR,DELGADO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
